#,FULL NAME,POS,HT.,ACADEMIC YEAR,HOMETOWN,HIGH SCHOOL
0,Maria Savvun,G,5-5,Fr.",Cary, North Carolina",Green Level
1,Jadie O'Bray,G,5-10,So.,"Okotoks, Alberta Canada,"Foothills Composite
2,Presley Heggie,G,5-10,Fr.,"Lethbridge, Alberta",Herriman
3,Taylor Miyasaki,G,5-11,So.,"Eagle Mountain, Utah",Cedar Valley
4,Addison Newman,G,5-9,So.,"Cedar City, Utah",Canyon View
5,Sydney Duryee,G,5-10,Fr.,"Galt, California",Liberty Ranch
10,Emma Camden,G,5-7,Jr.,"Buena Vista, Virginia",Parry McCluer
11,Abbigail Snyder,G,5-6,So.,"Rocky Ford, Colorado",Rocky Ford
12,Kenzie Landon,G,5-7,Fr.,"Reno, Nevada",Galena
13,Eve Schmalbeck,G/F,6-0,Fr.,"Saratoga Springs, Utah",Cedar Valley
22,Barrett Jessop,G,5-7,Sr.,"Salt Lake City, Utah",Skyline High School
23,Sierra Banz,G,5-8,Fr.,"Salt Lake City, Utah",West
24,Jocelyn Stewart,F,5-11,"Fr.,Okotoks, Alberta Canada",Oilfields
25,Alyssa McKrola,G,5-10,Jr.,"Longmont, Colorado",Skyline
30,Ruth Kempler,C,6-3,Fr.,"Santa Clarita, California",Saugus
33,Madisen Staples,G/F,5-8,"So.,Hurricane, Utah",Hurricane
34,RaeAnn Lessing,C,6-1,Sr.,"Fredericksburg, Pennsylvania",Northern Lebanon
41,Courtney Olson,F/C,6-1,Sr.,"Longmont, Colorado",Century
