#,FULL NAME,POS,HT.,ACADEMIC YEAR,HOMETOWN, HIGH SCHOOL
1,Kristian Jewsome,G,5-2,So.,"Atlanta, Georgia",
2,Paige Sanders,G,5-7,Jr.,"Saginaw, Michigan",
4,Isis Smith,G,5-7,Jr.,"Eugene, Oregon",
5,Jourdan Avery,G,5-5,Jr.,"Orlando, Florida",
10,Tatum Hayes,G,5-6,Jr.,"Fort Myers, Florida",
11,Anissa Tuitt,G,5-8,Jr.,"Kissimmee, Florida",
12,Molly Ragle,G/F,5-11,Sr.,"Fleming Island, Florida",
15,Tyrielle Cox,F,5-9,Jr.,"Jacksonville, Florida",
20,Khadija Smith,F,5-11,Jr.,"Eugene, Oregon",
21,Imani Dockery,C,6-3,Sr.,"Buffalo, New York",
23,Kyana Johnson,F/C,6-1,Jr.,"Deltona, Florida",
24,Lee'Sha Henry,F,5-9,Jr.,"Daytona Beach, Florida",
35,Emari Bell,C,6-3,Sr.,"Orlando, Florida",
